date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:20	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:W/%225fb79975-415%22	https://www.hypergiant.com/wp-includes/wlwmanifest.xml	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-includes/wlwmanifest.xml	(from https://www.hypergiant.com/)
18:29:20	2233/2233	---M-Z	200	added ('OK')	application/json	date:Fri,%2011%20Dec%202020%2012:59:20%20GMT	https://www.hypergiant.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hypergiant.com%2F	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-json/oembed/1.0/embed954e.json	(from https://www.hypergiant.com/)
18:29:21	2327/2327	---M-Z	200	added ('OK')	text/xml	date:Fri,%2011%20Dec%202020%2012:59:20%20GMT	https://www.hypergiant.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hypergiant.com%2F&format=xml	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-json/oembed/1.0/embed3c36	(from https://www.hypergiant.com/)
18:29:21	679/679	---M--	200	added ('OK')	image/png	etag:%225dfda32c-2a7%22	https://www.hypergiant.com/wp-content/uploads/2018/05/cropped-rocket-1-32x32.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2018/05/cropped-rocket-1-32x32.png	(from https://www.hypergiant.com/)
18:29:21	4244/4244	---M--	200	added ('OK')	image/png	etag:%225dfda32c-1094%22	https://www.hypergiant.com/wp-content/uploads/2018/05/cropped-rocket-1-192x192.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2018/05/cropped-rocket-1-192x192.png	(from https://www.hypergiant.com/)
18:29:21	4063/4063	---M--	200	added ('OK')	image/png	etag:%225dfda32c-fdf%22	https://www.hypergiant.com/wp-content/uploads/2018/05/cropped-rocket-1-180x180.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2018/05/cropped-rocket-1-180x180.png	(from https://www.hypergiant.com/)
18:29:22	40494/40494	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Dec%202020%2012:59:21%20GMT	https://www.hypergiant.com/wp-content/themes/hypergiant/dist/assets/images/placeholder.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/themes/hypergiant/dist/assets/images/placeholder.png	(from https://www.hypergiant.com/)
18:29:22	538117/538117	---M--	200	added ('OK')	image/png	etag:%225dfda32c-83605%22	https://www.hypergiant.com/wp-content/uploads/2019/01/homepage-top-banner-min.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/homepage-top-banner-min.png	(from https://www.hypergiant.com/)
18:29:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Dec%202020%2012:59:22%20GMT	https://www.hypergiant.com/contact	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/contact.17.delayed	(from https://www.hypergiant.com/)
18:29:23	113761/113761	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:22%20GMT	https://www.hypergiant.com/about/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/about/index.html	(from https://www.hypergiant.com/)
18:29:23	59836/59836	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:22%20GMT	https://www.hypergiant.com/ethics/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/ethics/index.html	(from https://www.hypergiant.com/)
18:29:23	59298/59298	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:22%20GMT	https://www.hypergiant.com/a-better-world/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/a-better-world/index.html	(from https://www.hypergiant.com/)
18:29:24	3166/3166	---M--	200	added ('OK')	image/png	etag:%225e8be307-c5e%22	https://www.hypergiant.com/wp-content/uploads/2020/04/SAS.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2020/04/SAS.png	(from https://www.hypergiant.com/)
18:29:24	51820/51820	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:23%20GMT	https://www.hypergiant.com/partners/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/partners/index.html	(from https://www.hypergiant.com/)
18:29:24	132575/132575	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:23%20GMT	https://www.hypergiant.com/rd/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/rd/index.html	(from https://www.hypergiant.com/)
18:29:24	72233/72233	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:23%20GMT	https://www.hypergiant.com/advisory/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/advisory/index.html	(from https://www.hypergiant.com/)
18:29:25	85304/85304	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:23%20GMT	https://www.hypergiant.com/case-studies-design-thinking-process/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/case-studies-design-thinking-process/index.html	(from https://www.hypergiant.com/)
18:29:25	5346/5346	---M--	200	added ('OK')	image/png	etag:%225e8bdfd5-14e2%22	https://www.hypergiant.com/wp-content/uploads/2020/04/ge-logo.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2020/04/ge-logo.png	(from https://www.hypergiant.com/)
18:29:25	114677/114677	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:24%20GMT	https://www.hypergiant.com/press-page/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/press-page/index.html	(from https://www.hypergiant.com/)
18:29:25	2166/2166	---M--	200	added ('OK')	image/png	etag:%225e8be217-876%22	https://www.hypergiant.com/wp-content/uploads/2020/04/arrow-right.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2020/04/arrow-right.png	(from https://www.hypergiant.com/)
18:29:25	287202/287202	---M--	200	added ('OK')	image/png	etag:%225e8bdfec-461e2%22	https://www.hypergiant.com/wp-content/uploads/2020/04/ge-device.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2020/04/ge-device.png	(from https://www.hypergiant.com/)
18:29:26	3676/3676	---M--	200	added ('OK')	image/png	etag:%225f4d56bd-e5c%22	https://www.hypergiant.com/wp-content/uploads/2020/06/BLPS_HeroLogo-1-e1598903997128.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2020/06/BLPS_HeroLogo-1-e1598903997128.png	(from https://www.hypergiant.com/)
18:29:26	321654/321654	---M--	200	added ('OK')	image/png	etag:%225f4d767b-4e876%22	https://www.hypergiant.com/wp-content/uploads/2020/08/REDACTEDHomepagedevice.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2020/08/REDACTEDHomepagedevice.png	(from https://www.hypergiant.com/)
18:29:26	77950/77950	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:25%20GMT	https://www.hypergiant.com/transcripts/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/transcripts/index.html	(from https://www.hypergiant.com/)
18:29:26	190843/190843	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:25%20GMT	https://www.hypergiant.com/careers/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/careers/index.html	(from https://www.hypergiant.com/)
18:29:27	62250/62250	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:26%20GMT	https://www.hypergiant.com/contact/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/contact/index.html	(from https://www.hypergiant.com/)
18:29:27	4294/4294	---M--	200	added ('OK')	image/png	etag:%225e8be0f4-10c6%22	https://www.hypergiant.com/wp-content/uploads/2020/04/schlumberger-logo.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2020/04/schlumberger-logo.png	(from https://www.hypergiant.com/)
18:29:27	296292/296292	---M--	200	added ('OK')	image/png	etag:%225e8be10a-48564%22	https://www.hypergiant.com/wp-content/uploads/2020/04/schlumberger-device.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2020/04/schlumberger-device.png	(from https://www.hypergiant.com/)
18:29:27	41594/41594	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:27%20GMT	https://www.hypergiant.com/signup/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/signup/index.html	(from https://www.hypergiant.com/)
18:29:27	60097/60097	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:27%20GMT	https://www.hypergiant.com/divisions/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/divisions/index.html	(from https://www.hypergiant.com/)
18:29:28	4837/4837	---M--	200	added ('OK')	image/png	etag:%225dfda32c-12e5%22	https://www.hypergiant.com/wp-content/uploads/2019/06/Grey-box.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/06/Grey-box.png	(from https://www.hypergiant.com/)
18:29:28	103516/103516	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:27%20GMT	https://www.hypergiant.com/divisions/space-age-solutions/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/divisions/space-age-solutions/index.html	(from https://www.hypergiant.com/)
